number_of_reviews,reviews_score_rating,reviews_per_month
2,70,0.66
43,97,4.78
46,94,2.88
29,97,1.9
2,90,0.3
11,100,3.4
6,100,1.51
4,95,1.2
26,97,2.87
53,95,5.62
9,89,3.03
29,96,0.53
9,82,0.28
57,96,2.49
10,96,3.37
14,86,0.26
35,85,2.57
29,86,2.29
121,93,1.91
1,60,0.35
6,100,2.14
31,95,0.69
3,100,1.76
6,97,3.6
43,98,1.98
4,100,1.05
22,98,1.31
152,97,3.68
46,94,5.95
55,96,5.02
116,96,5.97
14,91,0.76
6,93,1.12
4,95,0.21
12,97,0.78
5,96,0.41
24,90,3.06
11,87,3.51
61,98,5.41
18,91,1.86
12,98,1.13
40,96,1.1
3,100,1.38
60,92,2.88
79,92,2.94
112,93,4.11
17,98,0.66
8,93,0.18
2,90,0.44
20,94,2.59
30,83,0.74
5,100,0.78
7,97,1.07
2,100,1.36
12,98,1.11
13,92,0.98
19,96,2.71
40,99,2.33
10,94,1.04
34,97,1.56
85,100,3.77
9,91,3.86
3,100,1.06
58,91,4.75
155,97,3.73
30,91,3.85
11,96,3.06
5,100,0.71
61,97,3.88
39,94,0.69
7,100,0.5
16,95,2.86
4,100,1.14
11,100,2.06
7,97,0.23
69,98,8.28
22,91,3.59
13,97,1.42
16,93,0.83
103,90,4.46
192,95,3.31
4,95,0.36
26,92,1.69
174,94,2.74
9,93,1.24
